1+z, f(z)
10, 0.1666854954321956
11.94476220454337, 0.1579574616152783
14.267734412308778, 0.15069616135444547
17.04246947526087, 0.1466977178532115
20.564595733484722, 0.14425274548210318
25.06790102600252, 0.14376866287124818
30.24862395881497, 0.1452258060470653
35.40485699420627, 0.1476872710415119
45.40580253543354, 0.1548035878082879
57.93683891586343, 0.16501303350006472
80.59061208449143, 0.18129847899086057
112.6728252025301, 0.20188752738473734
162.3993714405479, 0.22633125185579736
241.31256383207386, 0.2520344189394033
373.43592648889796, 0.27971472433274236
563.4130497461649, 0.300173440337653
803.8627758207202, 0.31569672238021107
1057.440130962475, 0.3286913848439951
1256.690190062019, 0.3331407331958288
1470.9077849540217, 0.32539341445283676
1661.5260951081564, 0.3286913848439951
1867.3417822771523, 0.3243014609298939
2264.7305474306045, 0.3331407331958288
2994.3011672262887, 0.33426244937991834
